participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.role_set,player.bid_amount,player.is_winner,player.item_private_value,player.item_common_value_signal,player.item_common_value,player.item_both_value,player.item_final_value,player.money_earned,player.max_bid,player.min_bid,player.retake,player.bid_amount1,player.bid_amount2,group.id_in_subsession,group.common_value,group.highest_bid,subsession.round_number,subsession.is_practice_round,subsession.total_rounds,subsession.real_rounds,subsession.auction,subsession.switch_group,subsession.switch_type,subsession.a,subsession.b,subsession.c,subsession.d,subsession.endowment,subsession.red_bid,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,emhwyl8i,leeps_3,0,312,650,common_value_auction,FinalPage,07:27.9,1,,,3002,1,,0,auctioneer,,0,98,94,86,184,0,0,0,0,0,,,1,86,88,1,1,24,20,common,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
2,llj6ja7a,leeps_4,0,312,650,common_value_auction,FinalPage,07:30.6,1,,,3175,2,,0,bidder,0,0,112,82,86,198,86,0,125,75,0,0,,1,86,88,1,1,24,20,common,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
3,vpars3n3,leeps_2,0,312,650,common_value_auction,FinalPage,07:35.1,1,,,3128,3,,0,bidder,88,1,93,80,86,179,86,0,125,75,0,88,,1,86,88,1,1,24,20,common,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
4,fp8k6h1d,leeps_1,0,312,650,common_value_auction,FinalPage,07:36.4,1,,,3036,4,,0,bidder,80,0,108,98,86,194,86,0,125,75,0,80,,1,86,88,1,1,24,20,common,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
5,mqt0al14,leeps_8,0,312,650,common_value_auction,FinalPage,07:38.9,1,,,2967,1,,0,auctioneer,,0,112,80,112,224,0,0,0,0,1,,,2,112,118,1,1,24,20,common,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
6,r1x3f9d1,leeps_10,0,312,650,common_value_auction,FinalPage,07:43.3,1,,,2775,2,,0,bidder,89,0,108,106,112,220,112,0,125,75,0,82,89,2,112,118,1,1,24,20,common,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
7,1wvf7yqk,leeps_5,0,312,650,common_value_auction,FinalPage,07:45.3,1,,,2935,3,,0,bidder,105,0,99,117,112,211,112,0,125,75,0,109,105,2,112,118,1,1,24,20,common,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
8,tg59o8gv,leeps_6,0,312,650,common_value_auction,FinalPage,07:46.8,1,,,3110,4,,0,bidder,118,1,86,113,112,198,112,0,125,75,0,90,118,2,112,118,1,1,24,20,common,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
9,vln8v50r,leeps_9,0,312,650,common_value_auction,FinalPage,07:47.6,1,,,3065,1,,0,auctioneer,,0,103,109,107,210,0,0,0,0,0,,,3,107,100,1,1,24,20,common,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
10,yq3wf849,leeps_12,0,312,650,common_value_auction,FinalPage,07:53.2,1,,,2974,2,,0,bidder,100,1,94,112,107,201,107,0,125,75,0,100,,3,107,100,1,1,24,20,common,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
